ThreadID,Thread Title,URL,Date,Number of Messages
TH00955,Dating?,https://groups.google.com./g/net.motss/c/j-Nis-M1Ymc,1/9/86,4
TH00954,A close call indeed!!!,https://groups.google.com./g/net.motss/c/faxIR5LV48g,1/8/86,2
TH00953,book ads and sexual slant,https://groups.google.com./g/net.motss/c/0NabE45DcIY,1/8/86,2
TH00952,20 questions,https://groups.google.com./g/net.motss/c/QFB0tdVNvRs,1/8/86,1
TH00951,Previous Posting,https://groups.google.com./g/net.motss/c/qG0AzOKahEk,1/7/86,1
TH00950,"Sexual Slant in Novels - ""Stars in My Pocket...""",https://groups.google.com./g/net.motss/c/gVThBmakgas,1/6/86,6
TH00949,Samuel Delany and Stars in My Pockets Like Grains of Sand,https://groups.google.com./g/net.motss/c/32uG5eVH6y0,1/4/86,1
TH00948,On meeting someone with AIDS,https://groups.google.com./g/net.motss/c/mjsT7OncThg,1/3/86,1
TH00947,mens emotions towards men,https://groups.google.com./g/net.motss/c/lMcy3z1Jv9Q,1/3/86,1
TH00946,Bias Crime Legislation,https://groups.google.com./g/net.motss/c/8apm999UZ34,1/2/86,1
TH00945,Sexual orientation in book ads,https://groups.google.com./g/net.motss/c/8gKbYKnZkYw,1/2/86,1
TH00944,"\""Quick Mother, hit the n-key!\""",https://groups.google.com./g/net.motss/c/tu499t6W7UQ,12/31/85,2
TH00943,Turning the other cheek,https://groups.google.com./g/net.motss/c/s3t4iqxtwbQ,12/30/85,14
TH00942,leaving BBN...,https://groups.google.com./g/net.motss/c/S6qlRdlge3M,12/27/85,1
TH00941,Re. Turning the other Cheek,https://groups.google.com./g/net.motss/c/h6Aw0f1II_Q,12/24/85,7
TH00940,AIDS Research - Antiviral Drugs (Query)?,https://groups.google.com./g/net.motss/c/zTIyZZtv2fA,12/23/85,7
TH00939,2 books & 1 film: quality art of gay interest,https://groups.google.com./g/net.motss/c/mwup-WqwHwA,12/23/85,1
TH00938,"Rudeness, profanity, exultation & other emotional outbursts",https://groups.google.com./g/net.motss/c/A1kZlXPsVkI,12/23/85,1
TH00937,Excerpts from the World (of the Australian NewsMag OUTRAGE),https://groups.google.com./g/net.motss/c/RFe1xTVUFQA,12/22/85,3
TH00936,"Arizon Gay Rodeo, Phoenix, Jan 17-19, 1986",https://groups.google.com./g/net.motss/c/emx11dslkko,12/21/85,1
TH00935,Turning the Other Cheek,https://groups.google.com./g/net.motss/c/74TjE_gT_ZY,12/20/85,4
TH00934,...more from OUTRAGE,https://groups.google.com./g/net.motss/c/x8XkcKIPO4g,12/16/85,1
TH00933,Song: That's What Friends Are For,https://groups.google.com./g/net.motss/c/dJ6ATi437Uw,12/16/85,3
TH00932,turning the other cheek,https://groups.google.com./g/net.motss/c/veNphCmKZBQ,12/14/85,2
TH00931,"A note to the people of the free world from Canada, about censorship.",https://groups.google.com./g/net.motss/c/0y1OmLCrb8k,12/14/85,6
TH00930,"subscription, gay banks etc., Gay Games I poster: wanted",https://groups.google.com./g/net.motss/c/n-Lt-3w4wx8,12/5/85,1
TH00929,Equal right's statutes/ordinances,https://groups.google.com./g/net.motss/c/JOwZKY_FXF8,12/4/85,1
TH00928,Nonoxynol-9,https://groups.google.com./g/net.motss/c/qTwX0OE7Ji4,12/3/85,1
TH00927,hustlers and tragedy,https://groups.google.com./g/net.motss/c/Bu2MwvsnKXI,12/3/85,2
TH00926,Answer to AIDS questions,https://groups.google.com./g/net.motss/c/5cgl9ZU_E2g,12/3/85,7
TH00925,Take Away the Sex . . .,https://groups.google.com./g/net.motss/c/BsQZ83GvWVA,12/2/85,1
TH00924,"You've been warned once, but an underscore might be in order",https://groups.google.com./g/net.motss/c/cWOpdFYoD4U,11/30/85,1
TH00923,New York anti-sex laws - newspaper article,https://groups.google.com./g/net.motss/c/E1QoPUSBBwg,11/28/85,3
TH00922,Safe Sex,https://groups.google.com./g/net.motss/c/yLJJC6s7e_0,11/28/85,2
TH00921,NYC Bathhouses Close,https://groups.google.com./g/net.motss/c/jeCHTJEhSi4,11/27/85,1
TH00920,Uniting Ceremony,https://groups.google.com./g/net.motss/c/28egF-8tQAk,11/26/85,1
TH00919,Saving Lives,https://groups.google.com./g/net.motss/c/De20yQjf2eQ,11/25/85,9
TH00918,"Re.Re. Gettin' Satisfaction, a rebuttal",https://groups.google.com./g/net.motss/c/2RHm9vkff60,11/25/85,3
TH00917,Possible Good News about AIDS?,https://groups.google.com./g/net.motss/c/PKhA-E7TCOo,11/23/85,1
TH00916,Looking for 25 questions to ask your straight friends,https://groups.google.com./g/net.motss/c/tL_6KYbgw0A,11/22/85,3
TH00915,Cold War Within the Gay Community - article excerpts re-posted,https://groups.google.com./g/net.motss/c/X-v807XtqxQ,11/22/85,2
TH00914,"Re.Re. Gettin' Satisfaction, a rebuttal",https://groups.google.com./g/net.motss/c/STIjH_nFlS4,11/22/85,2
TH00913,Security Clearences,https://groups.google.com./g/net.motss/c/np2j1AlGjW8,11/21/85,1
TH00912,AIDS statistic in DISCOVERY magazine,https://groups.google.com./g/net.motss/c/rN-dF9Ma-u4,11/21/85,1
TH00911,Recent articles; homosex & science,https://groups.google.com./g/net.motss/c/I5YIBJiyahU,11/20/85,3
TH00910,advice request for gay video series,https://groups.google.com./g/net.motss/c/cYGbCH-7RTQ,11/20/85,1
TH00909,Thus saith the Lord -- Who said what? Boswell reposted,https://groups.google.com./g/net.motss/c/XgYLDOx5uJE,11/19/85,2
TH00908,Shift in AIDS risk groups,https://groups.google.com./g/net.motss/c/DX7LMfnV1Fw,11/19/85,2
TH00907,Celebrating Differences.,https://groups.google.com./g/net.motss/c/LOhNP8NKgwI,11/19/85,4
TH00906,Texas Gay Rodeo,https://groups.google.com./g/net.motss/c/RKM17mTdpGU,11/19/85,1
TH00905,Ken Arndt et al [long but hopefully worth it],https://groups.google.com./g/net.motss/c/GcTm6fVOzi8,11/18/85,1
TH00904,Thus saith the Lord,https://groups.google.com./g/net.motss/c/Z5yv4VMnJpU,11/18/85,9
TH00903,An Early Frost,https://groups.google.com./g/net.motss/c/1-DMlOE1kIE,11/18/85,7
TH00902,mail.personals: October stats,https://groups.google.com./g/net.motss/c/esp0lsFdwac,11/18/85,2
TH00901,AIDS in Africa: a newspaper editorial,https://groups.google.com./g/net.motss/c/GSscEgGnBcA,11/16/85,2
TH00900,Getin' Satisfaction,https://groups.google.com./g/net.motss/c/xC5UJxVRRFo,11/16/85,2
TH00899,Re. Getin' Satisfaction,https://groups.google.com./g/net.motss/c/BvolmOyL1dk,11/15/85,1
TH00898,esoteric gay signs (not sign language),https://groups.google.com./g/net.motss/c/HLO5fBH3IZs,11/14/85,2
TH00897,Questions for straights,https://groups.google.com./g/net.motss/c/M2pDLbPceZc,11/14/85,1
TH00896,Shift in ADIS risk groups?,https://groups.google.com./g/net.motss/c/MwwcrTFpHls,11/14/85,1
TH00895,i'm back ...,https://groups.google.com./g/net.motss/c/1n-z_vZZsE4,11/14/85,1
TH00894,re An Early Frost,https://groups.google.com./g/net.motss/c/qbpvxGccmqU,11/13/85,2
TH00893,Keeping the beat (Gay themes in pop music),https://groups.google.com./g/net.motss/c/Ve_3Wb552IE,11/13/85,5
TH00892,Justices to rule on gay sex,https://groups.google.com./g/net.motss/c/-5Vy18yo5R0,11/11/85,1
TH00891,That Certain Summer,https://groups.google.com./g/net.motss/c/skw26bMYDZ0,11/8/85,1
TH00890,"Gays, deafness, and problems of Linguistics",https://groups.google.com./g/net.motss/c/IaoiWrNdRyA,11/7/85,14
TH00889,q,https://groups.google.com./g/net.motss/c/D2NzVj1FYH8,11/7/85,1
TH00888,A short followup from J.R.,https://groups.google.com./g/net.motss/c/cwhf9bpoVxI,11/6/85,1
TH00887,Celebrating Differences.,https://groups.google.com./g/net.motss/c/qbCnKGsTE5E,11/5/85,1
TH00886,JR's posting on unfaithful lovers,https://groups.google.com./g/net.motss/c/4N_cRnCI0Q0,11/3/85,2
TH00885,test,https://groups.google.com./g/net.motss/c/-Id2ZWLK1qU,11/2/85,3
TH00884,Happy 2nd birthday,https://groups.google.com./g/net.motss/c/OOJFovk5yYI,11/2/85,1
TH00883,More on AIDS and Health Workers,https://groups.google.com./g/net.motss/c/IR97cYiLrxU,11/1/85,2
TH00882,Faculty homophobia at UMass,https://groups.google.com./g/net.motss/c/nQitgfzYbM8,10/31/85,1
TH00881,Life apes art,https://groups.google.com./g/net.motss/c/PBPL9z_ZAJM,10/29/85,1
TH00880,Can we have honest permanent love affairs?,https://groups.google.com./g/net.motss/c/6mYGutz4f7o,10/27/85,1
TH00879,"Gayness, Deafness, and problems of Linguistics",https://groups.google.com./g/net.motss/c/911izLYcGAI,10/22/85,1
TH00878,Murderer Dan White kills himself,https://groups.google.com./g/net.motss/c/LfB_P_ck-4A,10/22/85,1
TH00877,"re Gays, deafness, and problems of Linguistics",https://groups.google.com./g/net.motss/c/Vdxmi-YUxeQ,10/21/85,1
TH00876,Info Wanted: Hawaii and Denver,https://groups.google.com./g/net.motss/c/nFZdpHZGDck,10/20/85,1
TH00875,Joseph Hansen's mysteries,https://groups.google.com./g/net.motss/c/ABOr2Zrgo-0,10/19/85,1
TH00874,"coming out at work, and misc.",https://groups.google.com./g/net.motss/c/iT7oWOznSkY,10/19/85,16
TH00873,AIDS transmission (not easy to come by),https://groups.google.com./g/net.motss/c/RBVQ99n7o6I,10/18/85,1
TH00872,AIDS: beyond high-risk groups,https://groups.google.com./g/net.motss/c/0giK_GQ_-XY,10/17/85,20
TH00871,Why Ken! Funny to see you here.,https://groups.google.com./g/net.motss/c/BaPVnj1eVN0,10/17/85,1
TH00870,AIDS: Casual contact exonerated,https://groups.google.com./g/net.motss/c/a0hVZmyMBiA,10/16/85,1
TH00869,THE EARLY FROST,https://groups.google.com./g/net.motss/c/W719oJ-Jruw,10/15/85,1
TH00868,More CONSENTING ADULT,https://groups.google.com./g/net.motss/c/63sTY6auZOA,10/10/85,1
TH00867,Poor 'O' (a net.liberal)- Up a tree and barked at!,https://groups.google.com./g/net.motss/c/xw9YsSZTexI,10/8/85,1
TH00866,Possible Ban on Pornography,https://groups.google.com./g/net.motss/c/rfJpAWdAVQA,10/7/85,2
TH00865,New in Denver & 'CONSENTING ADULTS',https://groups.google.com./g/net.motss/c/P11sogF2Pg8,10/6/85,2
TH00864,"Media accounts of AIDS, and a brief digression",https://groups.google.com./g/net.motss/c/1QZfBApreT0,10/4/85,2
TH00863,FLAMING on Ignorance,https://groups.google.com./g/net.motss/c/lDPT-y2Qf58,10/3/85,1
TH00862,Here's logic for you!,https://groups.google.com./g/net.motss/c/bUCgXGfVrCs,10/3/85,1
TH00861,Ann Landers' Latest,https://groups.google.com./g/net.motss/c/DUvS7yHTAjw,10/3/85,4
TH00860,"Politics of AIDS, of Foster Care",https://groups.google.com./g/net.motss/c/NB_zOSZvP_E,10/3/85,16
TH00859,KISS OF THE SPIDER WOMAN,https://groups.google.com./g/net.motss/c/e-vBksu9Alk,10/2/85,1
TH00858,Ann Landers' Latest,https://groups.google.com./g/net.motss/c/IpDbKbmrq2I,9/30/85,1
TH00857,Possible Ban on Pornography,https://groups.google.com./g/net.motss/c/s6RXp-XB6Hs,9/30/85,19
TH00856,Books for parents of gays,https://groups.google.com./g/net.motss/c/m0_OmzK26kU,9/30/85,1
TH00855,More great headlines,https://groups.google.com./g/net.motss/c/7cJzFzKFxf4,9/26/85,1
TH00854,"New England MOTSS Party on Friday, September 27th",https://groups.google.com./g/net.motss/c/V7GBzyRpKio,9/24/85,2
